peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
2a0c:3b82:0:c232::6358|147.28.46.0/24|('58057', '34800', '34549', '37100', '58363')|False|0.27155172413793105|(('58057', '34800'), ('34800', '34549'), ('34549', '37100'), ('37100', '58363'))|('58057p2c', '34800p2c', '34549None', '37100p2c')
2a0c:3b82:0:c232::6358|147.28.54.0/24|('58057', '34800', '34549', '5539', '58365')|False|0.26580459770114945|(('58057', '34800'), ('34800', '34549'), ('34549', '5539'), ('5539', '58365'))|('58057p2c', '34800p2c', '34549None', '5539p2c')
2a0c:b641:402::1|147.28.34.0/24|('208709', '58299', '6939', '2497', '58361')|False|0.20402298850574713|(('208709', '58299'), ('58299', '6939'), ('6939', '2497'), ('2497', '58361'))|('208709p2p', '58299c2p', '6939p2p', '2497p2c')
2a0c:b641:402::1|147.28.38.0/24|('208709', '34872', '24961', '3356', '1239', '3130')|False|0.4899425287356322|(('208709', '34872'), ('34872', '24961'), ('24961', '3356'), ('3356', '1239'), ('1239', '3130'))|('208709c2p', '34872c2p', '24961c2p', '3356p2p', '1239p2c')
2a0c:b641:402::1|147.28.38.0/24|('208709', '58299', '6939', '3130')|False|0.21120689655172414|(('208709', '58299'), ('58299', '6939'), ('6939', '3130'))|('208709p2p', '58299c2p', '6939p2p')
2a0c:b641:402::1|147.28.42.0/24|('208709', '49697', '39912', '1299', '2914', '63528', '58362')|False|0.41235632183908044|(('208709', '49697'), ('49697', '39912'), ('39912', '1299'), ('1299', '2914'), ('2914', '63528'), ('63528', '58362'))|('208709c2p', '49697p2p', '39912c2p', '1299p2p', '2914p2c', '63528p2c')
2a0c:b641:402::1|147.28.42.0/24|('208709', '58299', '174', '2914', '63528', '58362')|False|0.20402298850574713|(('208709', '58299'), ('58299', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('208709p2p', '58299c2p', '174p2p', '2914p2c', '63528p2c')
2a0c:b641:402::1|147.28.46.0/24|('208709', '34927', '37100', '58363')|False|0.3793103448275862|(('208709', '34927'), ('34927', '37100'), ('37100', '58363'))|('208709c2p', '34927None', '37100p2c')
2a0c:b641:402::1|147.28.46.0/24|('208709', '49697', '37100', '58363')|False|0.08620689655172414|(('208709', '49697'), ('49697', '37100'), ('37100', '58363'))|('208709c2p', '49697p2p', '37100p2c')
2a0c:b641:402::1|147.28.46.0/24|('208709', '49697', '39912', '37100', '58363')|False|0.3017241379310345|(('208709', '49697'), ('49697', '39912'), ('39912', '37100'), ('37100', '58363'))|('208709c2p', '49697p2p', '39912p2p', '37100p2c')
2a0c:b641:402::1|147.28.46.0/24|('208709', '58299', '34549', '37100', '58363')|False|0.23706896551724138|(('208709', '58299'), ('58299', '34549'), ('34549', '37100'), ('37100', '58363'))|('208709p2p', '58299None', '34549None', '37100p2c')
2a0c:b641:402::1|147.28.50.0/24|('208709', '58299', '6939', '22548', '58364')|False|0.3017241379310345|(('208709', '58299'), ('58299', '6939'), ('6939', '22548'), ('22548', '58364'))|('208709p2p', '58299c2p', '6939p2c', '22548p2c')
2a0c:b641:402::1|147.28.50.0/24|('208709', '58299', '6939', '3356', '3549', '22548', '58364')|False|0.44396551724137934|(('208709', '58299'), ('58299', '6939'), ('6939', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('208709p2p', '58299c2p', '6939c2p', '3356p2c', '3549p2c', '22548p2c')
