nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
137,0.9388250199236761,1.0,[0.94151603 0.99998596],1.0,0.9856451177205346,1.0,[0.98120764 1.        ],1.0,1.0
174,0.9802983184207708,1.0,[0.99732928 0.99999807],1.0,0.9960538104461943,1.0,[0.99951357 1.        ],1.0,1.0
209,0.8239156590211507,2.0,[0.96555398 0.9999993 ],1.0,0.9520964815246579,1.0,[0.98874605 1.        ],1.0,1.0
286,0.949030940554293,1.0,[0.9744534 0.9999982],1.0,0.9898818935243716,1.0,[0.99239848 1.        ],1.0,1.0
293,0.9733600628728957,1.0,[0.94930885 0.99999324],1.0,0.9945648646568259,1.0,[0.98475963 1.        ],1.0,1.0
513,0.999015309698746,1.0,[0.26100917 0.99977506],3.0,0.9998770445125621,1.0,[0.3878411 1.       ],3.0,2.0
553,0.9719721613617398,1.0,[0.88149889 0.99997388],1.0,0.9939291040443362,1.0,[0.95301347 1.        ],1.0,1.0
577,0.9217651268219149,1.0,[0.40089406 0.99977404],3.0,0.9835293330627571,1.0,[0.42827657 1.        ],3.0,2.0
680,0.9239132480617431,1.0,[0.88572679 0.99998079],1.0,0.9823925521185185,1.0,[0.96879594 1.        ],1.0,1.0
701,0.9934449250877362,1.0,[0.98722626 0.99999706],1.0,0.9986317197392584,1.0,[0.99615756 1.        ],1.0,1.0
703,0.9000179106175531,1.0,[0.38492342 0.99967084],3.0,0.8958033743034427,1.0,[0.64696182 1.        ],2.0,3.0
852,0.8262130491444093,2.0,[0.97140778 0.99998823],1.0,0.8597184579664758,1.0,[0.9900365 1.       ],1.0,1.0
1103,0.7432973204325724,2.0,[0.95482653 0.99999488],1.0,0.9179347424173363,1.0,[0.98654495 1.        ],1.0,1.0
1140,0.9317519508488665,1.0,[0.23317132 0.99978329],3.0,0.9860594025452836,1.0,[0.32857459 1.        ],3.0,2.0
1221,0.7869151347009784,2.0,[0.94768217 0.99999112],1.0,0.9333798737043847,1.0,[0.97988171 1.        ],1.0,1.0
1239,0.9556138006897208,1.0,[0.99538879 0.99999934],1.0,0.9905000149371728,1.0,[0.99863443 1.        ],1.0,1.0
1257,0.9427616839185302,1.0,[0.73558209 0.99997025],2.0,0.9894342776487207,1.0,[0.89367947 1.        ],1.0,2.0
1267,0.9775139410958373,1.0,[0.86838773 0.99994498],1.0,0.994791604291557,1.0,[0.9431674 1.       ],1.0,1.0
1273,0.9988634476527334,1.0,[0.93760334 0.99999801],1.0,0.9998341897783843,1.0,[0.97829559 1.        ],1.0,1.0
1280,0.9793444525114656,1.0,[0.81435995 0.9999696 ],2.0,0.9958415495740326,1.0,[0.93855836 1.        ],1.0,2.0
1299,0.9888925685378929,1.0,[0.99750117 0.9999999 ],1.0,0.9974107325293678,1.0,[0.99974811 1.        ],1.0,1.0
1351,0.9695292739975853,1.0,[0.83483953 0.99999155],2.0,0.9931059385274719,1.0,[0.93959674 1.        ],1.0,2.0
1403,0.9824339600229971,1.0,[0.9508877  0.99999279],1.0,0.9965546268157377,1.0,[0.98369685 1.        ],1.0,1.0
1764,0.5447735565114458,3.0,[0.80839406 0.99998724],2.0,0.7014289229610363,2.0,[0.92850296 1.        ],1.0,2.0
