peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
72.22.223.18|147.28.38.0/24|('11708', '3130')|False|0.278494623655914|(('11708', '3130'),)|('11708p2p',)
72.22.223.18|147.28.42.0/24|('11708', '15164', '174', '2914', '63528', '58362')|False|0.49032258064516127|(('11708', '15164'), ('15164', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('11708p2p', '15164c2p', '174p2p', '2914p2c', '63528p2c')
72.22.223.18|147.28.50.0/24|('11708', '6939', '16735', '22548', '58364')|False|0.21881720430107526|(('11708', '6939'), ('6939', '16735'), ('16735', '22548'), ('22548', '58364'))|('11708p2p', '6939p2c', '16735p2c', '22548p2c')
72.22.223.18|147.28.54.0/24|('11708', '21385', '5539', '58365')|False|0.4817204301075269|(('11708', '21385'), ('21385', '5539'), ('5539', '58365'))|('11708p2p', '21385p2c', '5539p2c')
72.22.223.18|147.28.54.0/24|('11708', '33891', '5539', '58365')|False|0.23118279569892472|(('11708', '33891'), ('33891', '5539'), ('5539', '58365'))|('11708p2p', '33891p2c', '5539p2c')
72.22.223.18|45.132.190.0/24|('11708', '15164', '174', '1299', '31027', '44869', '58360')|False|0.3924731182795699|(('11708', '15164'), ('15164', '174'), ('174', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('11708p2p', '15164c2p', '174p2p', '1299p2c', '31027p2c', '44869p2c')
177.84.60.15|147.28.34.0/24|('263516', '264556', '28263', '6939', '1299', '2497', '58361')|False|0.32688172043010755|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '1299'), ('1299', '2497'), ('2497', '58361'))|('263516c2p', '264556c2p', '28263c2p', '6939c2p', '1299p2p', '2497p2c')
177.84.60.15|147.28.34.0/24|('263516', '264556', '28263', '6939', '2497', '58361')|False|0.22634408602150538|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '2497'), ('2497', '58361'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '2497p2c')
177.84.60.15|147.28.38.0/24|('263516', '10429', '12956', '2914', '3130')|False|0.3763440860215054|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '3130'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c')
177.84.60.15|147.28.38.0/24|('263516', '264556', '28263', '6939', '3130')|False|0.221505376344086|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '3130'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p')
177.84.60.15|147.28.42.0/24|('263516', '10429', '12956', '2914', '63528', '58362')|False|0.22473118279569892|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '63528'), ('63528', '58362'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '63528p2c')
177.84.60.15|147.28.42.0/24|('263516', '264556', '28263', '10429', '12956', '2914', '63528', '58362')|False|0.3204301075268817|(('263516', '264556'), ('264556', '28263'), ('28263', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '63528'), ('63528', '58362'))|('263516c2p', '264556c2p', '28263c2p', '10429c2p', '12956p2p', '2914p2c', '63528p2c')
177.84.60.15|147.28.46.0/24|('263516', '10429', '12956', '174', '37100', '58363')|False|0.2989247311827957|(('263516', '10429'), ('10429', '12956'), ('12956', '174'), ('174', '37100'), ('37100', '58363'))|('263516c2p', '10429c2p', '12956p2p', '174p2c', '37100p2c')
177.84.60.15|147.28.46.0/24|('263516', '10429', '12956', '6453', '37100', '58363')|False|0.4838709677419355|(('263516', '10429'), ('10429', '12956'), ('12956', '6453'), ('6453', '37100'), ('37100', '58363'))|('263516c2p', '10429c2p', '12956p2p', '6453p2c', '37100p2c')
177.84.60.15|147.28.46.0/24|('263516', '264556', '28263', '6939', '37100', '58363')|False|0.221505376344086|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '37100'), ('37100', '58363'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '37100p2c')
177.84.60.15|147.28.50.0/24|('263516', '10429', '12956', '3356', '3549', '22548', '58364')|False|0.4720430107526882|(('263516', '10429'), ('10429', '12956'), ('12956', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('263516c2p', '10429c2p', '12956p2p', '3356p2c', '3549p2c', '22548p2c')
177.84.60.15|147.28.50.0/24|('263516', '10429', '3356', '3549', '22548', '58364')|False|0.42795698924731185|(('263516', '10429'), ('10429', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('263516c2p', '10429p2p', '3356p2c', '3549p2c', '22548p2c')
177.84.60.15|147.28.50.0/24|('263516', '16735', '22548', '58364')|False|0.2467741935483871|(('263516', '16735'), ('16735', '22548'), ('22548', '58364'))|('263516None', '16735p2c', '22548p2c')
177.84.60.15|147.28.50.0/24|('263516', '22548', '58364')|False|0.22096774193548388|(('263516', '22548'), ('22548', '58364'))|('263516p2p', '22548p2c')
177.84.60.15|147.28.54.0/24|('263516', '10429', '12956', '1299', '5539', '58365')|False|0.4962365591397849|(('263516', '10429'), ('10429', '12956'), ('12956', '1299'), ('1299', '5539'), ('5539', '58365'))|('263516c2p', '10429c2p', '12956p2p', '1299p2c', '5539p2c')
177.84.60.15|147.28.54.0/24|('263516', '10429', '12956', '2914', '5539', '58365')|False|0.2763440860215054|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '5539'), ('5539', '58365'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '5539p2c')
177.84.60.15|147.28.54.0/24|('263516', '264556', '28263', '6939', '5539', '58365')|False|0.22043010752688172|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '5539'), ('5539', '58365'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '5539p2c')
177.84.60.15|45.132.190.0/24|('263516', '10429', '12956', '1299', '31027', '44869', '58360')|False|0.3279569892473118|(('263516', '10429'), ('10429', '12956'), ('12956', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263516c2p', '10429c2p', '12956p2p', '1299p2c', '31027p2c', '44869p2c')
177.84.60.15|45.132.190.0/24|('263516', '10429', '12956', '2914', '31027', '44869', '58360')|False|0.37849462365591396|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '31027'), ('31027', '44869'), ('44869', '58360'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '31027p2c', '44869p2c')
177.84.60.15|45.132.190.0/24|('263516', '264556', '28263', '6939', '31027', '44869', '58360')|False|0.22204301075268817|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '31027'), ('31027', '44869'), ('44869', '58360'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '31027p2c', '44869p2c')
95.140.133.13|147.28.34.0/24|('2593', '28716', '1299', '2497', '58361')|False|0.2989247311827957|(('2593', '28716'), ('28716', '1299'), ('1299', '2497'), ('2497', '58361'))|('2593c2p', '28716c2p', '1299p2p', '2497p2c')
95.140.133.13|147.28.34.0/24|('2593', '28716', '2914', '2497', '58361')|False|0.2833333333333333|(('2593', '28716'), ('28716', '2914'), ('2914', '2497'), ('2497', '58361'))|('2593c2p', '28716c2p', '2914p2c', '2497p2c')
95.140.133.13|147.28.34.0/24|('2593', '28716', '6453', '2497', '58361')|False|0.3811827956989247|(('2593', '28716'), ('28716', '6453'), ('6453', '2497'), ('2497', '58361'))|('2593c2p', '28716c2p', '6453p2p', '2497p2c')
95.140.133.13|147.28.34.0/24|('2593', '49289', '1299', '2497', '58361')|False|0.4736559139784946|(('2593', '49289'), ('49289', '1299'), ('1299', '2497'), ('2497', '58361'))|('2593c2p', '49289c2p', '1299p2p', '2497p2c')
95.140.133.13|147.28.38.0/24|('2593', '28716', '2914', '1239', '3130')|False|0.31129032258064515|(('2593', '28716'), ('28716', '2914'), ('2914', '1239'), ('1239', '3130'))|('2593c2p', '28716c2p', '2914p2p', '1239p2c')
95.140.133.13|147.28.38.0/24|('2593', '28716', '2914', '3130')|False|0.22311827956989247|(('2593', '28716'), ('28716', '2914'), ('2914', '3130'))|('2593c2p', '28716c2p', '2914p2c')
