nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
137,0.8847617329907834,1.0,[0.05870139 0.43672906],3.0,0.9737116701531552,1.0,[0.03955283 0.39345724],4.0,4.0
174,0.0852614814984422,5.0,[0.99688754 0.99999967],1.0,0.015671654843648183,5.0,[0.99921773 1.        ],1.0,5.0
209,0.8982851439628594,1.0,[0.85253805 0.99481363],1.0,0.9731536249306544,1.0,[0.87476482 0.99821261],1.0,1.0
286,0.9556594195969959,1.0,[0.97264711 0.9999993 ],1.0,0.9915028505548057,1.0,[0.99257336 1.        ],1.0,1.0
293,0.9596826069693913,1.0,[0.90806823 0.99998752],1.0,0.9911048262095191,1.0,[0.96680415 1.        ],1.0,1.0
513,0.9980924852638573,1.0,[0.23475454 0.99997323],3.0,0.9996416623853928,1.0,[0.29473827 1.        ],3.0,2.0
553,0.9445594756730953,1.0,[0.88016026 0.99990567],1.0,0.9874296872029643,1.0,[0.96191451 1.        ],1.0,1.0
577,0.8838734865454648,1.0,[2.98802981e-04 8.75421984e-01],3.0,0.9733118408578205,1.0,[1.00000000e-15 9.99841586e-01],3.0,2.0
680,0.9115121841487669,1.0,[0.87585885 0.99995802],1.0,0.9775573304905345,1.0,[0.95958655 1.        ],1.0,1.0
701,0.9848121418831859,1.0,[0.91603502 0.99050958],1.0,0.996891376316111,1.0,[0.92324118 0.99259105],1.0,1.0
703,0.05096303197316385,5.0,[0.22990162 0.99950466],3.0,0.011313326450606806,5.0,[0.34083289 1.        ],3.0,5.0
852,0.4925421428604447,3.0,[0.94247355 0.99997284],1.0,0.6209036051083358,2.0,[0.98270077 1.        ],1.0,2.0
1103,0.7483852059042242,2.0,[0.93435308 0.99997955],1.0,0.912103557441406,1.0,[0.9784187 1.       ],1.0,1.0
1140,0.8039601382731814,2.0,[0.23591455 0.99734145],3.0,0.9411138685671063,1.0,[0.26965676 1.        ],3.0,2.0
1221,0.8170072414036936,2.0,[7.23993588e-05 8.34351792e-01],3.0,0.9467012045404697,1.0,[2.22044605e-16 9.99545844e-01],3.0,2.0
1239,0.8674890679555336,1.0,[0.99315126 0.99999905],1.0,0.9666798958202132,1.0,[0.99797393 1.        ],1.0,1.0
1257,0.9221559881647935,1.0,[0.6273655  0.99985145],2.0,0.9831027249062583,1.0,[0.83626257 1.        ],2.0,2.0
1267,0.5269624854817091,3.0,[0.74259106 0.99994482],2.0,0.5150445626942977,3.0,[0.90041804 1.        ],1.0,3.0
1273,0.9980361870704471,1.0,[0.9251392  0.99996024],1.0,0.9996031308892628,1.0,[0.96986161 1.        ],1.0,1.0
1280,0.07338299669740884,5.0,[0.56391229 0.99992041],3.0,0.014513954912312436,5.0,[0.77396174 1.        ],2.0,5.0
1299,0.9774255520105039,1.0,[0.69962274 0.76390225],2.0,0.9954497083916402,1.0,[0.65869424 0.71996213],2.0,2.0
1351,0.9611245978119288,1.0,[0.73857748 0.99997982],2.0,0.9918790954230405,1.0,[0.89380655 1.        ],1.0,2.0
1403,0.7613384709571313,2.0,[0.89421271 0.9999892 ],1.0,0.9088513517405302,1.0,[0.96260877 1.        ],1.0,1.0
1764,0.9702013322262304,1.0,[0.74035084 0.99999747],2.0,0.9943384600782594,1.0,[0.89010891 1.        ],1.0,2.0
1798,0.2055927525677895,4.0,[0.79366048 0.99991866],2.0,0.05880251517806581,5.0,[0.93168808 1.        ],1.0,5.0
1836,0.9597089811276999,1.0,[0.87314138 0.99997277],1.0,0.9920487989246541,1.0,[0.9569695 1.       ],1.0,1.0
1853,0.9020500021632698,1.0,[0.70502632 0.99996317],2.0,0.9758298787570786,1.0,[0.87445153 1.        ],1.0,2.0
1916,0.9289779208827597,1.0,[0.45390088 0.85015988],3.0,0.9838746338777479,1.0,[0.42235061 0.80741632],3.0,2.0
2044,0.8567170941206933,1.0,[0.61700386 0.99999682],2.0,0.96423204666846,1.0,[0.83136548 1.        ],2.0,2.0
2119,0.9202998345448321,1.0,[0.62559452 0.9996352 ],2.0,0.9812833456010089,1.0,[0.83007538 1.        ],2.0,2.0
2152,0.9266093299799983,1.0,[5.84968137e-05 3.35577280e-01],4.0,0.9840927370238246,1.0,[4.88498131e-15 1.49034579e-01],5.0,5.0
2381,0.9294344936617829,1.0,[2.45039591e-04 9.10692624e-01],3.0,0.9842857387144279,1.0,[1.77635684e-15 9.99904491e-01],3.0,2.0
2497,0.8997131240886646,1.0,[0.99648968 0.99999882],1.0,0.9780166947912423,1.0,[0.99903636 1.        ],1.0,1.0
2516,0.9409395738598575,1.0,[0.83912752 0.99993999],2.0,0.9877915541833338,1.0,[0.92948867 1.        ],1.0,2.0
2518,0.9774309628812822,1.0,[0.80890821 0.99999663],2.0,0.9955996326930902,1.0,[0.92690371 1.        ],1.0,2.0
2586,0.8848045122574367,1.0,[0.72424408 0.9999379 ],2.0,0.9731435379578889,1.0,[0.88275267 1.        ],1.0,2.0
2593,0.9837505691117318,1.0,[0.78527876 0.99999473],2.0,0.9970686254974721,1.0,[0.92485691 1.        ],1.0,2.0
2597,0.12855555570534932,5.0,[0.84819019 0.99996548],2.0,0.031165254985579025,5.0,[0.93755938 1.        ],1.0,5.0
2598,0.8768503227939701,1.0,[0.15941744 0.99837999],3.0,0.965508634226186,1.0,[0.19796863 1.        ],3.0,2.0
2603,0.9044192484687108,1.0,[0.84738603 0.99997767],2.0,0.9783807298936226,1.0,[0.93563777 1.        ],1.0,2.0
2613,0.8553137225206787,1.0,[0.77624643 0.99995033],2.0,0.9606300293841884,1.0,[0.90934703 1.        ],1.0,2.0
2614,0.7754645202042457,2.0,[0.00133248 0.91015301],3.0,0.9303724279975709,1.0,[2.31773654e-05 1.00000000e+00],3.0,2.0
2764,0.6249819845531213,2.0,[0.01925667 0.95115171],3.0,0.7985718973807705,2.0,[7.07360028e-05 1.00000000e+00],3.0,3.0
2828,0.8290667269012056,2.0,[0.47224433 0.99992496],3.0,0.9453249947562642,1.0,[0.70062957 1.        ],2.0,2.0
2895,0.9502705636244388,1.0,[0.65134369 0.99994232],2.0,0.9879518320884176,1.0,[0.8422222 1.       ],2.0,2.0
2905,0.459316678965659,3.0,[0.23946323 0.99998522],3.0,0.42235816330801346,3.0,[0.34889852 1.        ],3.0,3.0
2914,0.656002760930314,2.0,[0.99738713 0.99999968],1.0,0.852381697897506,1.0,[0.99957627 1.        ],1.0,1.0
3130,0.1449150161820492,5.0,[0.99617414 0.99999903],1.0,0.02952534949677044,5.0,[0.99890979 1.        ],1.0,5.0
3214,0.9678018000763441,1.0,[0.93116295 0.99999492],1.0,0.9936984758572527,1.0,[0.97046382 1.        ],1.0,1.0
3223,0.7950323019595712,2.0,[0.95205217 0.99999347],1.0,0.9382719432774581,1.0,[0.98118442 1.        ],1.0,1.0
