nodes,mean_hmc,hdpi,category_extraflags
30722,0.026288329846844816,0.8756229906020678,2
20485,0.9843283451563518,0.9223341421336568,5
196621,0.026846375069345618,0.8707604131998073,2
38930,0.008497149445194307,0.9598594397349929,1
12307,0.008895173790480881,0.9600363682432111,1
22548,0.00035833761460724034,0.9983436693115416,1
59414,0.012570312797035688,0.938165796193713,2
12310,0.02668815914217948,0.8740453455521313,2
14361,0.022442669509465496,0.8947789038838497,2
8218,0.003108623683888978,0.9862888767340321,1
8220,0.9886866735493932,0.9488287654231089,5
8222,0.37909639489166425,0.159619333503619,3
55329,0.08789644255859397,0.5789261242820649,2
20514,0.058886131432893674,0.7567388660339901,2
24611,0.05329879545953031,0.7443371554694808,2
57381,0.033320104179786814,0.8463403885437802,2
34854,0.016897275093741726,0.9247762620871708,2
4134,0.48495543730570234,0.21296856853761503,4
63528,0.0003968691107372191,0.9982670415094158,1
12329,0.9854860450876876,0.936134617539101,5
47147,0.004550291608359847,0.979596941994079,1
28716,0.008120904576959465,0.9639826025640643,1
200753,0.09114864825946978,0.6442401649465163,2
34872,0.005661539921740566,0.9739857975132811,1
41018,0.9411974848219342,0.7322547995592446,5
30781,0.00795120107534586,0.9634817489683013,1
34878,0.024170121242921394,0.8903480224008317,2
12350,0.016125366122252127,0.9269641651411115,2
2119,0.03576795333154004,0.8300753837911246,2
264268,0.01871665439899106,0.9127894038463947,2
59469,0.015907262976175396,0.926172768360489,2
20562,0.015714261285572073,0.9253664615811894,2
4181,0.021983305208757686,0.8868125739416655,2
6233,0.012208445816666247,0.9392173169725966,2
8283,0.004400367306909847,0.9786729183991546,1
53340,0.026856462042111118,0.8699414867701214,2
12389,0.0029313745025278948,0.9878163890664562,1
2152,0.968834745014421,0.8509654214405634,5
53356,0.03449136577381395,0.8477611530445609,2
34927,0.02161927010637743,0.8958603152722338,2
8308,0.0393699706158116,0.8062522292476847,2
57463,0.06962757200242908,0.6711162064866668,2
28792,0.2014281026192295,0.39712432693053334,3
45177,0.05467500524373581,0.7628748207733843,2
22652,0.012048167911582364,0.9439449392474852,1
209022,0.5776418366919865,5.887493614031847e-05,3
61568,0.14761830210249405,0.34259285495574576,3
4230,0.9704746505032296,0.873315953842565,5
41095,0.006301524142747317,0.972330685964093,1
49289,0.06172805672254189,0.6974713282393257,2
137,0.8017048714209517,0.6460955858061285,4
268430,0.02290564106895776,0.8957805357557795,2
262287,0.007175669873465185,0.9675783934717096,1
24724,0.1532825565365018,0.33697902759401466,3
34968,0.09777331830460734,0.5233961498281445,2
28824,0.03542912973029111,0.8407109497464322,2
12445,0.06676135484982271,0.6660238121938977,2
8359,0.0344948912856583,0.8293046889256039,2
174,0.0001624447486621161,0.9992177309827894,1
207036,0.0072865834429292065,0.9685308326742532,1
10429,0.008816295618753522,0.961985100340479,1
207044,0.018433393789930697,0.9133372593251582,2
14537,0.009135352197120139,0.9562180122740768,1
51405,0.05258310445734726,0.762889712669612,2
39120,0.04121236979709786,0.818857154349053,2
209,0.05778882453230105,0.8765522084981733,4
39122,0.014494831533109265,0.9319261530047552,2
24785,0.03568802753216316,0.8347031452476534,2
59605,0.009508829933951968,0.9560073657810852,1
264409,0.0839064295330384,0.5960865392462419,2
4323,0.061307426015196564,0.7385292660146346,2
202984,0.025238044203364507,0.8732171377186504,2
8426,0.7406209598336329,0.5862174942292019,4
24811,0.08805055473337264,0.5912517207473563,2
37100,0.00024877891156471765,0.9987751579608862,1
205036,0.5853410913344865,3.101149464557196e-05,3
28917,0.014731628718754664,0.932494560234306,2
8447,0.020603002321171293,0.9100697086250559,2
262403,0.02434054784044304,0.8868715838863211,2
8455,0.9877767367419182,0.9446901214413871,5
12552,0.027763514639916553,0.8754625014262811,2
39180,0.08182566959794191,0.6133647703151464,2
49420,0.009065362377530528,0.9612094218203268,1
8468,0.0787203101428543,0.6366346422432131,2
6423,0.017229134334194707,0.919546064298998,2
49432,0.023273467592659358,0.8916874569435601,2
49434,0.020165265034133073,0.9048736541798313,2
20764,0.0037911595610370386,0.9835997529258949,1
286,0.0017484784516202945,0.9925733579661158,1
293,0.006684691719708091,0.9668041539046996,1
14630,0.0054118924143128355,0.9743146830133976,1
45352,0.018671243306473073,0.9126527416800135,2
59689,0.007173237172920177,0.9649954734718352,1
31019,0.028046511655046236,0.8829749937567409,2
8492,0.010988464108449003,0.9490932368400424,1
24875,0.01827547342768643,0.910398471371479,2
395570,0.02550493611827709,0.8778183368683601,2
31027,0.00046378575753303064,0.9978048871258121,1
6453,0.0008088562657008191,0.9962424510971228,1
205112,0.030927856851243996,0.8523623473183082,2
18747,0.13775405996501644,0.3384030707428335,3
6461,0.9971996536630297,0.9868207861473963,5
49475,0.04382361505719645,0.7766056834697629,2
59715,0.019690322911917857,0.9095915411350829,2
139589,0.008090705541868859,0.9606282138997648,1
20811,0.0030514609678228277,0.9871461655513544,1
2381,0.5517338333506114,9.550898111454487e-05,3
205148,0.010277929720578616,0.954920016959519,1
12637,0.0034436014217872346,0.9838716660151868,1
16735,0.32510648143159493,0.763823147387669,3
57695,0.0024985565548170108,0.9891553434520635,1
49515,0.12870386753014373,0.5022718309363345,3
264556,0.04601666509253399,0.8026839578240855,2
41327,0.004454084473303865,0.978213828568107,1
