nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
30722,0.9231802103053594,1,[0.78499606 0.99995565],2,0.9832918961864691,1,[0.91794655 1.        ],1,2
20485,0.08140290221552779,5,[5.28084727e-06 2.25428436e-01],4,0.01726213540928469,5,[8.8817842e-16 8.1146445e-02],5,5
196621,0.748208690775884,2,[0.39224276 0.99939713],3,0.9128381351046564,1,[0.59003473 1.        ],3,2
38930,0.9511833602023901,1,[0.86756035 0.99998494],1,0.9894749766237462,1,[0.95026879 1.        ],1,1
12307,0.9676828944778662,1,[0.91054785 0.99998027],1,0.9935629951090175,1,[0.96879686 1.        ],1,1
22548,0.9988524740236095,1,[0.99699647 0.99999979],1,0.9996477083702175,1,[0.99845248 1.        ],1,1
59414,0.9594786115082398,1,[0.88889527 0.99998889],1,0.9911042488536153,1,[0.95915442 1.        ],1,1
12310,0.9087952806534324,1,[0.75814881 0.99999582],2,0.9766921624879473,1,[0.88341434 1.        ],1,2
14361,0.8938543022246117,1,[0.72239674 0.99996856],2,0.9766436616036228,1,[0.89904685 1.        ],1,2
8218,0.9887713123303008,1,[0.96913847 0.99998576],1,0.9976371043091006,1,[0.9890388 1.       ],1,1
8220,0.35717437661961843,3,[0.18690358 0.51747219],3,0.3514780750781302,3,[0.17004162 0.52346679],3,4
8222,0.48474950392721805,3,[0.15078985 0.81316286],3,0.490692589534006,3,[0.04575746 0.82055561],3,4
55329,0.7442187439427953,2,[0.40044807 0.99982241],3,0.9128200884818785,1,[0.58523268 1.        ],3,2
20514,0.9268548614374443,1,[0.79863956 0.99995011],2,0.9837917586943513,1,[0.92865647 1.        ],1,2
57381,0.9565554081324591,1,[0.88164583 0.99997973],1,0.9909599348810509,1,[0.95649004 1.        ],1,1
34854,0.9603516301332791,1,[0.89234953 0.99993893],1,0.9911892085175503,1,[0.95991864 1.        ],1,1
4134,0.25779615954495,4,[9.53395785e-05 6.23285739e-01],3,0.08742924868509107,5,[1.11022302e-15 3.89682077e-01],4,5
63528,0.9985655434167856,1,[0.99618803 0.99999853],1,0.9997436987562153,1,[0.99881097 1.        ],1,1
12329,0.07939136537405585,5,[5.63231336e-06 2.14558594e-01],4,0.017521834250777787,5,[3.90798505e-14 8.11312907e-02],5,5
47147,0.9866805216718376,1,[0.96178783 0.99999144],1,0.997465645815648,1,[0.98848051 1.        ],1,1
28716,0.9745855882623039,1,[0.9259886  0.99999019],1,0.9949250792794033,1,[0.97509679 1.        ],1,1
200753,0.9500490930045482,1,[0.8626242  0.99999488],1,0.9891044315229492,1,[0.95076181 1.        ],1,1
34872,0.97543837968351,1,[0.93245004 0.99999956],1,0.9945860157466446,1,[0.97466641 1.        ],1,1
41018,0.37125705942599607,3,[0.05476617 0.73367949],3,0.30858140329266476,3,[5.76296962e-04 7.01415559e-01],3,4
30781,0.9665418336465877,1,[0.90591832 0.99998716],1,0.9935012340072952,1,[0.96921013 1.        ],1,1
34878,0.945490860448859,1,[0.84987527 0.99983143],2,0.9880171496926914,1,[0.94723418 1.        ],1,2
12350,0.9449270769029008,1,[0.85911505 0.99998978],1,0.9868683265078243,1,[0.94298764 1.        ],1,1
2119,0.6664761770653481,3,[0.24351829 0.99984813],3,0.8601239108698032,1,[0.37423679 1.        ],3,3
264268,0.9372884072599704,1,[0.82974598 0.99995739],2,0.9867923513499539,1,[0.93520907 1.        ],1,2
59469,0.959349709661398,1,[0.88413126 0.99999207],1,0.9916702509763977,1,[0.96278115 1.        ],1,1
200780,0.7437999892948136,2,[0.3910473  0.99967828],3,0.9173165823261993,1,[0.65154499 1.        ],2,2
20562,0.9399768520870575,1,[0.83742228 0.99996176],2,0.9867642044649583,1,[0.9404557 1.       ],1,2
4181,0.9584475515281685,1,[0.88242571 0.99999259],1,0.9915141859172378,1,[0.96089242 1.        ],1,1
6233,0.9785758493010449,1,[0.93947222 0.99999573],1,0.9956832257208729,1,[0.98146513 1.        ],1,1
8283,0.9866467506944397,1,[0.96262754 0.99999768],1,0.9970172499295524,1,[0.98569187 1.        ],1,1
53340,0.829155282534929,2,[0.56083271 0.9999842 ],3,0.9576628862294063,1,[0.79991188 1.        ],2,2
12389,0.9818834576760399,1,[0.94884843 0.99996936],1,0.9966462443566237,1,[0.98442615 1.        ],1,1
2152,0.7508531567625458,2,[0.49416307 0.9894174 ],3,0.8237391954992559,2,[0.56592861 1.        ],3,4
