nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
30722,0.9145662858279882,1,[0.77298602 0.99996983],2,0.9807858521822906,1,[0.91824311 1.        ],1,2
20485,0.8454956979034726,2,[0.70215715 0.98062252],2,0.8447896960349089,2,[0.69448392 0.96573402],2,2
196621,0.8986571356062364,1,[0.732275   0.99992665],2,0.975559188714576,1,[0.89457624 1.        ],1,2
38930,0.9501865721544516,1,[0.86658634 0.99994986],1,0.9907257384162251,1,[0.96009601 1.        ],1,1
12307,0.9743173755236695,1,[0.92849987 0.99998514],1,0.9947051911921051,1,[0.97617968 1.        ],1,1
22548,0.9989109516583394,1,[0.99699805 0.99999795],1,0.9997459419316541,1,[0.9988814 1.       ],1,1
59414,0.9660050770998221,1,[0.90615892 0.99999057],1,0.9925746130336406,1,[0.96817255 1.        ],1,1
12310,0.9205213559966214,1,[0.78424729 0.99997018],2,0.9820488309372699,1,[0.91802332 1.        ],1,2
14361,0.9197846580521525,1,[0.78115384 0.99995096],2,0.9816775272419128,1,[0.90112275 1.        ],1,2
8218,0.9842362884982316,1,[0.95542468 0.99999099],1,0.9968789958333664,1,[0.98430873 1.        ],1,1
8220,0.6556411092976941,3,[0.49883335 0.79796938],3,0.6660034934337355,3,[0.52203832 0.83994936],3,3
8222,0.3064791739268561,3,[0.06306603 0.56874042],3,0.2636280160661825,4,[0.01899821 0.51189309],3,4
55329,0.7392872063704008,2,[0.38523639 0.99966189],3,0.9168745213441182,1,[0.58202072 1.        ],3,2
20514,0.9203592592444392,1,[0.78229183 0.9999984 ],2,0.9827252963072757,1,[0.91991021 1.        ],1,2
24611,0.6519261602132358,3,[0.23949335 0.99999086],3,0.8645326610265976,1,[0.39082278 1.        ],3,3
57381,0.9489086172902885,1,[0.86018286 0.99993348],1,0.9892207682912572,1,[0.95332513 1.        ],1,1
34854,0.9366475757879623,1,[0.82965469 0.99999847],2,0.9856071596419127,1,[0.92989467 1.        ],1,2
4134,0.15141280626966705,4,[2.10721483e-04 3.82647096e-01],4,0.039908225828896395,5,[5.55111512e-15 1.82496502e-01],4,5
63528,0.9987709040798431,1,[0.99661226 0.99999965],1,0.9998238976002765,1,[0.99911893 1.        ],1,1
12329,0.07866558661832375,5,[6.67057830e-06 2.17869706e-01],4,0.018696010295247614,5,[8.88178420e-16 7.99120726e-02],5,5
47147,0.9893954690247363,1,[0.97009959 0.99999316],1,0.997643330416898,1,[0.98962454 1.        ],1,1
28716,0.9681703056192973,1,[0.90963428 0.9999677 ],1,0.9935139694722548,1,[0.97019735 1.        ],1,1
34872,0.9818856097734998,1,[0.95117404 0.99999749],1,0.9963065589779181,1,[0.98265549 1.        ],1,1
41018,0.19877123533309987,4,[4.26891515e-05 4.97535242e-01],3,0.04835242037892764,5,[1.44328993e-14 2.24737672e-01],4,5
30781,0.9662741811917308,1,[0.9072779  0.99998842],1,0.9925061308200056,1,[0.96589617 1.        ],1,1
12350,0.942435907191209,1,[0.84031072 0.99994608],2,0.9859486522884906,1,[0.93164148 1.        ],1,2
2119,0.6628074337662329,3,[0.24054264 0.99684678],3,0.8551670135483966,1,[0.37875454 1.        ],3,3
200780,0.855664263323038,1,[0.61983257 0.99986377],2,0.962759014221863,1,[0.81354034 1.        ],2,2
59469,0.963801967527226,1,[0.90018685 0.99998952],1,0.9920215957288251,1,[0.96273935 1.        ],1,1
20562,0.9360808477464115,1,[0.82536522 0.99994727],2,0.9863939808186132,1,[0.93232278 1.        ],1,2
4181,0.9533541949147876,1,[0.86662982 0.99998883],1,0.9896056307830565,1,[0.95564258 1.        ],1,1
264279,0.6665778518526198,3,[0.25059554 0.99942175],3,0.8574143255857114,1,[0.37220281 1.        ],3,3
6233,0.9693176770168865,1,[0.91424636 0.99998039],1,0.9936844331958105,1,[0.97250554 1.        ],1,1
8283,0.9886168545193862,1,[0.96748863 0.9999962 ],1,0.9977595630268339,1,[0.98892107 1.        ],1,1
53340,0.7433017282322163,2,[0.38793809 0.99997995],3,0.9134192059540445,1,[0.56709073 1.        ],3,2
12389,0.9814084565700241,1,[0.94797724 0.99997734],1,0.9960240962276045,1,[0.98130438 1.        ],1,1
2152,0.9168357784018519,1,[0.77436752 0.99997214],2,0.981975059223364,1,[0.91802226 1.        ],1,2
53356,0.9497148375842223,1,[0.85944881 0.9999933 ],1,0.9896457289721716,1,[0.95522453 1.        ],1,1
34927,0.9836888181934721,1,[0.95657789 0.99998908],1,0.9967471845971138,1,[0.98493741 1.        ],1,1
8308,0.8711164952492477,1,[0.66793068 0.99995865],2,0.9681523950340738,1,[0.85490041 1.        ],1,2
57463,0.7192397883328377,2,[0.35206027 0.99964013],3,0.8980966497454145,1,[0.53297171 1.        ],3,3
28792,0.8948763384732373,1,[0.72150149 0.99968244],2,0.9761066699800741,1,[0.8875705 1.       ],1,2
45177,0.963654109919421,1,[0.90054803 0.99993299],1,0.9925676992021378,1,[0.96271053 1.        ],1,1
22652,0.9719804984184086,1,[0.92068699 0.99999952],1,0.9936850240665565,1,[0.97033851 1.        ],1,1
61568,0.22240296559114425,4,[0.00928452 0.46025347],3,0.16489311606818338,4,[0.00128863 0.42038672],3,4
4230,0.2811225708298805,4,[1.40736765e-04 6.72185462e-01],3,0.08939236481245519,5,[3.33066907e-15 4.33245114e-01],3,5
41095,0.9756529980866687,1,[0.93204337 0.99997193],1,0.9950463353652157,1,[0.97502998 1.        ],1,1
137,0.19917726057471782,4,[0.05101556 0.36699748],4,0.1613242214529914,4,[0.03008401 0.31076076],4,4
49289,0.8710000302959645,1,[0.66718679 0.99998718],2,0.9684830319120762,1,[0.86101288 1.        ],1,2
268430,0.9022342065028199,1,[0.74453806 0.99990164],2,0.9773038573369219,1,[0.88472954 1.        ],1,2
262287,0.9916617505265727,1,[0.97698046 0.9999988 ],1,0.9983092552299877,1,[0.99217406 1.        ],1,1
47251,0.9077977238569924,1,[0.7548923  0.99981629],2,0.9784206397835292,1,[0.89822676 1.        ],1,2
24724,0.6627711456608621,3,[0.26253614 0.99972269],3,0.8586317985493008,1,[0.37110996 1.        ],3,3
34968,0.8915566057760858,1,[0.71628252 0.999705  ],2,0.9717021444387816,1,[0.87576284 1.        ],1,2
28824,0.8528739691086837,1,[0.62298246 0.99993923],2,0.961555907104388,1,[0.82297991 1.        ],2,2
61595,0.6707425642825463,3,[0.26146863 0.99993647],3,0.8579691476744763,1,[0.37943725 1.        ],3,3
12445,0.9569687893260861,1,[0.88245372 0.99998425],1,0.9892857274119674,1,[0.95031226 1.        ],1,1
8359,0.9272752077211153,1,[0.80268936 0.9999099 ],2,0.9846773417435319,1,[0.93373352 1.        ],1,2
174,0.9989751953058704,1,[0.99721301 0.9999998 ],1,0.9998824297775272,1,[0.99939518 1.        ],1,1
8374,0.897342332566323,1,[0.7282341  0.99995132],2,0.9753918274218998,1,[0.89265911 1.        ],1,2
207036,0.9806085111792444,1,[0.94590028 0.99999514],1,0.9959709667514365,1,[0.98146621 1.        ],1,1
10429,0.9710877463587824,1,[0.9172924  0.99999851],1,0.993557529746727,1,[0.96767316 1.        ],1,1
207044,0.9249105873496207,1,[0.79394862 0.99987937],2,0.9850300718507788,1,[0.92648847 1.        ],1,2
41157,0.90345739158984,1,[0.73675696 0.9999592 ],2,0.9787530028954482,1,[0.89540152 1.        ],1,2
266437,0.8867941719767503,1,[0.70404219 0.99992493],2,0.9723642732068681,1,[0.88002168 1.        ],1,2
14537,0.9610783213691712,1,[0.88948048 0.9999494 ],1,0.9915100021303078,1,[0.95823333 1.        ],1,1
51405,0.896128005037137,1,[0.71607333 0.99999918],2,0.9741795988808026,1,[0.87360563 1.        ],1,2
39120,0.9735898576840282,1,[0.92773115 0.99999962],1,0.9945022130620014,1,[0.97374603 1.        ],1,1
209,0.987627376860223,1,[0.96468605 0.99997902],1,0.9974404470124978,1,[0.98938877 1.        ],1,1
24785,0.8876186220957225,1,[0.69195343 0.99951087],2,0.9762822317735547,1,[0.89902052 1.        ],1,2
39122,0.9380112936288391,1,[0.83584278 0.99997582],2,0.98803992872683,1,[0.94488433 1.        ],1,2
59605,0.9662472354832301,1,[0.90773905 0.99999663],1,0.9926213430717685,1,[0.96574157 1.        ],1,1
264409,0.7431057860947895,2,[0.379413  0.9997997],3,0.9194960617556376,1,[0.60513831 1.        ],2,2
4323,0.6564590938461538,3,[0.23653001 0.99994352],3,0.8500275587380595,1,[0.31351335 1.        ],3,3
202984,0.8285233641752496,2,[0.56226744 0.99999851],3,0.9515424643407199,1,[0.77908666 1.        ],2,2
8426,0.5885125552386729,3,[0.41395729 0.78243237],3,0.5936031502967378,3,[0.40425668 0.79090843],3,3
24811,0.8554350644679455,1,[0.62416513 0.99988264],2,0.9613223162538372,1,[0.81905418 1.        ],2,2
37100,0.9989492531529535,1,[0.99714352 0.99999983],1,0.999864290318623,1,[0.99935339 1.        ],1,1
28917,0.9623562093163258,1,[0.89899258 0.99997829],1,0.9924404184272255,1,[0.95970585 1.        ],1,1
8447,0.9220335983282898,1,[0.78855852 0.99995977],2,0.9824509425875722,1,[0.92231407 1.        ],1,2
262403,0.8986448902456596,1,[0.72283402 0.99997512],2,0.9759631434426569,1,[0.89634598 1.        ],1,2
8455,0.6339427182822078,3,[0.43018884 0.82463321],3,0.6345656927824667,3,[0.4186368  0.82425026],3,3
12552,0.9115673990099883,1,[0.76692941 0.99999955],2,0.9806632563884572,1,[0.90967694 1.        ],1,2
49420,0.9713313748899026,1,[0.92148469 0.99999254],1,0.9937437699595487,1,[0.97158254 1.        ],1,1
39180,0.8270099313200399,2,[0.55716508 0.99973419],3,0.9536405508884166,1,[0.78471536 1.        ],2,2
8468,0.661495398411944,3,[0.25586279 0.99951143],3,0.8546867930628664,1,[0.3765063 1.       ],3,3
6423,0.9338549851624082,1,[0.81961287 0.99998533],2,0.9850076197583082,1,[0.92996318 1.        ],1,2
49432,0.9075407515952617,1,[0.74795655 0.99999299],2,0.9772913842598624,1,[0.89081059 1.        ],1,2
49434,0.9287480808687274,1,[0.80754362 0.99997866],2,0.9852661135017974,1,[0.93195044 1.        ],1,2
20764,0.9824881736470584,1,[0.95335597 0.99998793],1,0.9966610344755733,1,[0.98463535 1.        ],1,1
286,0.99075018628366,1,[0.97485902 0.99998472],1,0.998067457104075,1,[0.99096814 1.        ],1,1
293,0.9818847332354738,1,[0.94994035 0.99999162],1,0.9961792959090175,1,[0.98220091 1.        ],1,1
14630,0.9850499474615971,1,[0.95861462 0.99999893],1,0.9972409737165401,1,[0.9868089 1.       ],1,1
45352,0.9333811554671697,1,[0.82135397 0.99999667],2,0.9846543790771053,1,[0.93324823 1.        ],1,2
59689,0.9732669313815605,1,[0.92447861 0.99998829],1,0.9940304979906933,1,[0.97344052 1.        ],1,1
12586,0.94742516463444,1,[0.8572311  0.99999287],1,0.9884776973255418,1,[0.94447001 1.        ],1,1
24875,0.9663817929916247,1,[0.90575214 0.99991893],1,0.9936086829772403,1,[0.97106111 1.        ],1,1
31019,0.9622211270103862,1,[0.89894779 0.9999652 ],1,0.9928124737623992,1,[0.96769316 1.        ],1,1
8492,0.961156556506073,1,[0.89158392 0.99999885],1,0.9928292733621845,1,[0.96689985 1.        ],1,1
395570,0.9648112129459067,1,[0.90081896 0.99997637],1,0.992455233273776,1,[0.9663839 1.       ],1,1
31027,0.9988925971902941,1,[0.99705763 0.99999985],1,0.9998404304082895,1,[0.99920441 1.        ],1,1
6453,0.9971522963857573,1,[0.99208882 0.99999866],1,0.9994229409989227,1,[0.99753368 1.        ],1,1
205112,0.9255107008390846,1,[0.7960338  0.99996995],2,0.9845481131532592,1,[0.92522065 1.        ],1,2
18747,0.8258951309559809,2,[0.56040012 0.99997634],3,0.9550191077561426,1,[0.78229549 1.        ],2,2
6461,0.2524894293471112,4,[0.16936569 0.33398137],4,0.24384672448209244,4,[0.17187205 0.32365834],4,4
49475,0.9425904215673894,1,[0.84111798 0.99994736],2,0.9886699302932546,1,[0.94822691 1.        ],1,2
59715,0.9222773489255089,1,[0.78561397 0.99983503],2,0.982916136362257,1,[0.91804195 1.        ],1,2
139589,0.9790586176716264,1,[0.94120751 0.99998261],1,0.9954710187899163,1,[0.97943587 1.        ],1,1
20811,0.9841128275455937,1,[0.9553171  0.99999449],1,0.9967993893776916,1,[0.98648745 1.        ],1,1
47441,0.8831924924415044,1,[0.68863111 0.99989981],2,0.9737543995438687,1,[0.87870937 1.        ],1,2
205148,0.9675884070219961,1,[0.90935002 0.99996385],1,0.992775307384017,1,[0.96452592 1.        ],1,1
12637,0.9880341746205447,1,[0.96568156 0.99999985],1,0.9973693355388822,1,[0.98825357 1.        ],1,1
16735,0.9985131788045216,1,[0.9959127  0.99999979],1,0.999726653456014,1,[0.99875561 1.        ],1,1
57695,0.9925888379799779,1,[0.97840312 0.99999308],1,0.9985580958807411,1,[0.99308757 1.        ],1,1
49515,0.905811131992278,1,[0.74001616 0.99983659],2,0.9788668243026739,1,[0.90872543 1.        ],1,2
264556,0.9371988516622555,1,[0.82934803 0.9999625 ],2,0.985757142413597,1,[0.92936896 1.        ],1,2
41327,0.9658299699954205,1,[0.92810151 0.99815266],1,0.9695392594104014,1,[0.93637372 0.99748306],1,1
43376,0.8554378253205566,1,[0.63593571 0.99998935],2,0.9621690184269264,1,[0.83350905 1.        ],2,2
8560,0.7419985341207015,2,[0.36940301 0.99999588],3,0.9214632552633869,1,[0.62837411 1.        ],2,2
57724,0.898466139888757,1,[0.73083999 0.99992994],2,0.977106607847592,1,[0.89517216 1.        ],1,2
24961,0.9855538145597678,1,[0.95853425 0.99997517],1,0.9972093645847635,1,[0.98642401 1.        ],1,1
61832,0.9665900850722134,1,[0.90767513 0.99995358],1,0.9919532166929975,1,[0.96195478 1.        ],1,1
6539,0.2730601801680847,4,[1.92421853e-04 7.38849610e-01],3,0.08989730788275636,5,[3.29958283e-13 4.94443876e-01],3,5
201106,0.9618168762746417,1,[0.8949183  0.99998751],1,0.9920300753333927,1,[0.96441439 1.        ],1,1
29075,0.9807376554654577,1,[0.94496961 0.99996704],1,0.9964037909980298,1,[0.98328839 1.        ],1,1
131477,0.9897794736193389,1,[0.97082367 0.99999615],1,0.9979045788365798,1,[0.99010585 1.        ],1,1
205206,0.9097830398617195,1,[0.78772872 0.99953316],2,0.9449704167062041,1,[0.84530471 0.99999986],2,2
37271,0.9705098458908131,1,[0.91618689 0.99999541],1,0.9941209997142642,1,[0.97509957 1.        ],1,1
31133,0.9198528237674635,1,[0.78623907 0.99996643],2,0.9835040771259955,1,[0.92170205 1.        ],1,2
39326,0.9531562323276787,1,[0.86980549 0.99995994],1,0.9914384501556092,1,[0.95731672 1.        ],1,1
8607,0.9136785120511852,1,[0.76636625 0.9999615 ],2,0.9815909879022715,1,[0.91824666 1.        ],1,2
55720,0.9723433181134562,1,[0.92496104 0.99998653],1,0.9945502811418926,1,[0.97442714 1.        ],1,1
328112,0.9231541447296517,1,[0.79708285 0.99999117],2,0.9813945128817232,1,[0.90855584 1.        ],1,2
20912,0.9152148591132743,1,[0.82101423 0.99103347],2,0.9326525055977798,1,[0.85061541 0.99852666],1,2
63927,0.9713289109766754,1,[0.92116012 0.99999898],1,0.9936777571108912,1,[0.97104727 1.        ],1,1
39351,0.9389868024199505,1,[0.83561275 0.99999605],2,0.9859809412870202,1,[0.93202777 1.        ],1,2
2497,0.9987713058272609,1,[0.9966179  0.99999952],1,0.9996779518590133,1,[0.99849635 1.        ],1,1
35266,0.925553253017818,1,[0.79565791 0.99999889],2,0.984585185746173,1,[0.92918823 1.        ],1,2
20932,0.06206316960170324,5,[2.62935702e-05 1.66892853e-01],4,0.01249454906011517,5,[8.88178420e-16 5.50850009e-02],5,5
49605,0.5199671807632039,3,[0.349499   0.70378104],3,0.5245955841614487,3,[0.35400596 0.71979562],3,3
12741,0.6620640893061265,3,[0.2457746  0.99972397],3,0.8512202885669341,1,[0.32569596 1.        ],3,3
35280,0.9673488109961558,1,[0.90968986 0.99996147],1,0.9871211476580503,1,[0.94656178 1.        ],1,1
328145,0.6366713189112331,3,[0.27419524 0.99797606],3,0.7799232380235144,2,[0.26428972 1.        ],3,3
197075,0.1634655449026643,4,[3.68105667e-05 4.08782467e-01],3,0.04183428148029737,5,[1.22124533e-14 2.12251598e-01],4,5
2516,0.9775851313118836,1,[0.9394243  0.99998806],1,0.9953096322115815,1,[0.97773236 1.        ],1,1
63956,0.9819775294262941,1,[0.95030871 0.99999451],1,0.9960680063495997,1,[0.98300842 1.        ],1,1
29140,0.9680228320416472,1,[0.91043771 0.99999981],1,0.9943997720307225,1,[0.97656973 1.        ],1,1
2518,0.9494038505529617,1,[0.85511806 0.99997685],1,0.9886255727149147,1,[0.94842193 1.        ],1,1
262612,0.6668276268509177,3,[0.25655936 0.99935776],3,0.8542300488953175,1,[0.3623318 1.       ],3,3
20953,0.9345864597887916,1,[0.82100218 0.99995131],2,0.9848864517282698,1,[0.92714934 1.        ],1,2
8660,0.9239540766768696,1,[0.79655693 0.99995742],2,0.9844285416148295,1,[0.92862732 1.        ],1,2
29152,0.742753269658758,2,[0.37293638 0.99966353],3,0.9168873462716316,1,[0.57840113 1.        ],3,2
35297,0.48048530532481154,3,[0.00557363 0.92556755],3,0.4942673684997852,3,[5.01454511e-05 1.00000000e+00],3,3
39392,0.7939796460732409,2,[0.4744776  0.99944377],3,0.9395607509383752,1,[0.72626302 1.        ],2,2
20965,0.9463909078343394,1,[0.85240966 0.99997024],1,0.9888463996548883,1,[0.95303443 1.        ],1,1
12779,0.9924268071119832,1,[0.97843333 0.99999739],1,0.9984380322404782,1,[0.9926389 1.       ],1,1
59891,0.6557814214503285,3,[0.22818499 0.99944135],3,0.8618731479437896,1,[0.41395341 1.        ],3,3
14840,0.9650975666348836,1,[0.90304179 0.99998298],1,0.993452233921721,1,[0.96730032 1.        ],1,1
23033,0.9565005394549728,1,[0.87331207 0.99999607],1,0.9901041626582304,1,[0.95203945 1.        ],1,1
4608,0.9471466356288812,1,[0.85183921 0.99999326],1,0.9889981513304701,1,[0.95014914 1.        ],1,1
513,0.6601071570019714,3,[0.23579639 0.9999866 ],3,0.8647573432570084,1,[0.4042362 1.       ],3,3
25091,0.9843030974325817,1,[0.95441438 0.99999808],1,0.9967607802591925,1,[0.9864472 1.       ],1,1
61955,0.5992918217516245,3,[0.3282627  0.85824625],3,0.620726350079791,3,[0.33222605 0.91311806],3,3
6661,0.35824981593701477,3,[8.71888974e-05 7.94067699e-01],3,0.15520000696954458,4,[2.22044605e-16 7.21506328e-01],3,4
8708,0.9281320333524248,1,[0.80344459 0.99995526],2,0.9863138594954657,1,[0.93528035 1.        ],1,2
6663,0.40831210482048097,3,[0.00094502 0.8876757 ],3,0.19378338600762868,4,[1.24344979e-14 9.40793725e-01],3,4
53767,0.9592365586111541,1,[0.88879387 0.9999823 ],1,0.9910300749775761,1,[0.95675327 1.        ],1,1
49673,0.9244345359206186,1,[0.80445089 0.99998057],2,0.9821867316007731,1,[0.91491033 1.        ],1,2
57866,0.986234820340191,1,[0.96021539 0.99999621],1,0.9967551738780841,1,[0.98552446 1.        ],1,1
43531,0.8707129078682186,1,[0.66078256 0.99993255],2,0.9702875495274276,1,[0.86890268 1.        ],1,2
6667,0.9890829146843723,1,[0.96949908 0.99998167],1,0.9976774615149456,1,[0.98933188 1.        ],1,1
59919,0.9649395928757697,1,[0.90626229 0.99999608],1,0.9923155799474592,1,[0.96472012 1.        ],1,1
29208,0.8550045922474842,1,[0.63286089 0.99995645],2,0.962716381112158,1,[0.82380829 1.        ],2,2
2586,0.851008309747105,1,[0.60466265 0.99993883],2,0.9651935591532201,1,[0.83751584 1.        ],2,2
8732,0.7983220617750333,2,[0.50100905 0.99992079],3,0.941191986769811,1,[0.70482789 1.        ],2,2
4637,0.9780300794577049,1,[0.93569672 0.99999241],1,0.9947993999793556,1,[0.97511979 1.        ],1,1
205344,0.882455303687464,1,[0.69514766 0.99998768],2,0.9717446655081162,1,[0.86383414 1.        ],1,2
49697,0.9857415065435096,1,[0.95995825 0.9999841 ],1,0.9969480169876378,1,[0.98663788 1.        ],1,1
2593,0.9533197926319668,1,[0.87271426 0.99995938],1,0.9903224132400122,1,[0.95548009 1.        ],1,1
12835,0.9392515681452465,1,[0.84155181 0.99992028],2,0.9875384482261615,1,[0.94388863 1.        ],1,2
2597,0.9533947446250263,1,[0.87597548 0.99999838],1,0.9902499534503847,1,[0.95335981 1.        ],1,1
2598,0.5809153733639782,3,[0.1812302  0.99628946],3,0.7613628807089292,2,[0.17358007 1.        ],3,3
29222,0.9427389060884699,1,[0.84033138 0.99997055],2,0.9865309577335278,1,[0.93530078 1.        ],1,2
